ECO_NAME,REALM,flow_name,cf
Central European mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,1.1308866
Central US forest-grasslands transition,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,8.541124
Central Indochina dry forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,102.735504
Central Korean deciduous forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,60.57005
Central Mexican matorral,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,14.891199
Central Pacific Northwest coastal forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,72.03734
Central Persian desert basins,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.8495638
Central Tallgrass prairie,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,7.5783663
Central Tibetan Plateau alpine steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,13.505554
Central Zambezian wet miombo woodlands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,32.775772
Cerrado,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,24.59573
Changbai Mountains mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,45.185482
Changjiang Plain evergreen forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,50.957535
Chao Phraya lowland moist deciduous forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,182.06961
Cherskii-Kolyma mountain tundra,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,24.469336
Chhota-Nagpur dry deciduous forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,16.722652
Chiapas Depression dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,32.67345
Chiapas montane forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,154.9459
Chihuahuan desert,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,7.507892
Chilean Matorral,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,28.218246
Chimalapas montane forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,136.08475
Chin Hills-Arakan Yoma montane forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,210.91043
Chiquitano dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,17.827911
Chocó-Darién moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,204.73744
Chukchi Peninsula tundra,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,8.675019
Colorado Plateau shrublands,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,4.2831545
Colorado Rockies forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,11.2073345
Coolgardie woodlands,Australasia,Rainfed_Wheat_residues_removed_from_the_field,0.17171112
Copper Plateau taiga,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,51.503464
Cordillera Central páramo,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,83.08039
Cordillera Oriental montane forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,300.46985
Corsican montane broadleaf and mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,54.010418
Crete Mediterranean forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,39.95967
Crimean Submediterranean forest complex,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,13.792664
Cross-Niger transition forests,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,16.886663
Cross-Sanaga-Bioko coastal forests,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,18.473127
Cross-Timbers savanna-woodland,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,12.254337
Cyprus Mediterranean forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,6.611955
Da Hinggan-Dzhagdy Mountains conifer forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,7.5138946
Daba Mountains evergreen forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,110.39107
Daurian forest steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,3.820517
Deccan thorn scrub forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,10.013635
Dinaric Mountains mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,44.403156
Djibouti xeric shrublands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,17.558613
Drakensberg Escarpment savanna and thicket,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,37.683643
Drakensberg grasslands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,35.959152
Rock and Ice,N/A,Rainfed_Wheat_residues_removed_from_the_field,57.715805
Dry Chaco,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,5.7927446
East Afghan montane conifer forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,14.080555
East African halophytics,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,41.842964
East African mangroves,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,9.557992
East Central Texas forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,10.288789
East Deccan dry-evergreen forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,11.533098
East European forest steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.8854418
East Siberian taiga,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,2.4985962
East Sudanian savanna,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,42.962105
Eastern Anatolian deciduous forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,8.203091
Eastern Anatolian montane steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,7.4244795
Eastern Australia mulga shrublands,Australasia,Rainfed_Wheat_residues_removed_from_the_field,1.097884
Eastern Australian temperate forests,Australasia,Rainfed_Wheat_residues_removed_from_the_field,26.005651
Eastern Canadian forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,5.874554
Eastern Canadian Shield taiga,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,2.1753676
Eastern Cascades forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,8.176772
Eastern Cordillera Real montane forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,194.17218
Eastern Canadian Forest-Boreal transition,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,5.755218
Eastern Gobi desert steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.79025567
Eastern Great Lakes lowland forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,3.8607283
East Deccan moist deciduous forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,40.34467
Eastern Himalayan alpine shrub and meadows,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,64.68
Eastern Himalayan broadleaf forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,329.135
Eastern Himalayan subalpine conifer forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,206.85301
Eastern Mediterranean conifer-broadleaf forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,8.968613
Ecuadorian dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,251.73923
Edwards Plateau savanna,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,9.923719
Einasleigh upland savanna,Australasia,Rainfed_Wheat_residues_removed_from_the_field,10.703774
Elburz Range forest steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,4.875873
Emin Valley steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,2.3800893
English Lowlands beech forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,1.5338076
Esperance mallee,Australasia,Rainfed_Wheat_residues_removed_from_the_field,0.3261875
Espinal,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,3.3999515
Ethiopian montane forests,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,67.2072
Ethiopian montane grasslands and woodlands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,50.596684
Ethiopian montane moorlands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,62.395496
Euxine-Colchic broadleaf forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,19.679482
Everglades flooded grasslands,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,7.1048946
Eyre and York mallee,Australasia,Rainfed_Wheat_residues_removed_from_the_field,0.38454401
Fiordland temperate forests,Australasia,Rainfed_Wheat_residues_removed_from_the_field,80.54806
Flinders-Lofty montane woodlands,Australasia,Rainfed_Wheat_residues_removed_from_the_field,1.1968223
Flint Hills tallgrass prairie,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,9.520408
Fraser Plateau and Basin conifer forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,4.7173223
Fynbos shrubland,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,5.9415298
Gariep Karoo,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,4.058959
Ghorat-Hazarajat alpine meadow,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,23.618467
Gissaro-Alai open woodlands,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,21.138409
Godavari-Krishna mangroves,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,7.666911
Gobi Lakes Valley desert steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,5.44234
Great Basin montane forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,6.0941186
Great Basin shrub steppe,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,4.5564747
Great Lakes Basin desert steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,3.3084152
Great Sandy-Tanami desert,Australasia,Rainfed_Wheat_residues_removed_from_the_field,1.4213705
Great Victoria desert,Australasia,Rainfed_Wheat_residues_removed_from_the_field,0.19536039
Guayaquil flooded grasslands,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,101.92418
Guianan Highlands moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,94.51855
Guianan lowland moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,53.65568
Guianan piedmont moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,39.92892
Guianan savanna,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,17.36931
Guinean forest-savanna,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,24.539219
Guizhou Plateau broadleaf and mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,111.5635
Gulf of California xeric scrub,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,11.392751
Gulf of St. Lawrence lowland forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,4.2632194
Gurupa várzea,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,13.075311
Hainan Island monsoon rain forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,138.03783
Hampton mallee and woodlands,Australasia,Rainfed_Wheat_residues_removed_from_the_field,0.08255064
Hawai'i tropical dry forests,Oceania,Rainfed_Wheat_residues_removed_from_the_field,140.38011
Hawai'i tropical high shrublands,Oceania,Rainfed_Wheat_residues_removed_from_the_field,96.46382
Hawai'i tropical moist forests,Oceania,Rainfed_Wheat_residues_removed_from_the_field,250.17001
Helanshan montane conifer forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,1.3822722
Hengduan Mountains subalpine conifer forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,46.156963
High Monte,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,19.731552
Highveld grasslands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,16.329226
Himalayan subtropical broadleaf forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,172.46266
Himalayan subtropical pine forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,166.78499
Hindu Kush alpine meadow,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,72.503815
Hobyo grasslands and shrublands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,1.5152842
Hokkaido deciduous forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,26.621458
Hokkaido montane conifer forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,49.882557
Honshu alpine conifer forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,170.27411
Horn of Africa xeric bushlands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,3.2523882
Huang He Plain mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,14.496935
Humid Chaco,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,6.0368385
Humid Pampas,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,3.1272347
Iberian conifer forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,9.582634
Iberian sclerophyllous and semi-deciduous forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,5.8738785
Illyrian deciduous forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,32.198826
Indochina mangroves,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,45.92619
Indus River Delta-Arabian Sea mangroves,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,5.6967425
Indus Valley desert,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,2.1088119
Interior Alaska-Yukon lowland taiga,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,4.9807496
Interior Plateau US Hardwood Forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,27.582655
Interior Yukon-Alaska alpine tundra,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,3.7512321
Iquitos várzea,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,17.84486
Italian sclerophyllous and semi-deciduous forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,29.669691
Itigi-Sumbu thicket,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,5.23836
Jalisco dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,70.757744
Japurá-Solimões-Negro moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,15.055356
Jarrah-Karri forest and shrublands,Australasia,Rainfed_Wheat_residues_removed_from_the_field,4.2693863
Jian Nan subtropical evergreen forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,155.40889
Jos Plateau forest-grassland,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,29.767033
Junggar Basin semi-desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,1.339148
Juruá-Purus moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,23.291067
Kalahari xeric savanna,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,2.0870173
Kamchatka-Kurile meadows and sparse forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,4.027266
Kamchatka taiga,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.5305575
Karakoram-West Tibetan Plateau alpine steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,44.0117
Kayah-Karen montane rain forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,137.47049
Kazakh forest steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.9881766
Kazakh semi-desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.4356756
Kazakh steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.38821328
Kazakh upland steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.7537102
Khangai Mountains alpine meadow,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,17.795658
Khangai Mountains conifer forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,14.11165
Khathiar-Gir dry deciduous forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,11.485401
Kimberly tropical savanna,Australasia,Rainfed_Wheat_residues_removed_from_the_field,10.226252
Klamath-Siskiyou forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,53.10583
Knysna-Amatole montane forests,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,24.427015
Kola Peninsula tundra,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.7795664
Kopet Dag semi-desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,1.5879002
Kopet Dag woodlands and forest steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,1.723273
Kuh Rud and Eastern Iran montane woodlands,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.058044367
Kwazulu Natal-Cape coastal forests,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,47.6114
Lake Chad flooded savanna,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,2.5986135
Limpopo lowveld,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,25.199776
Low Monte,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,1.0753787
Lower Gangetic Plains moist deciduous forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,15.034149
Luang Prabang montane rain forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,70.48721
Madagascar dry deciduous forests,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,30.813795
Madagascar ericoid thickets,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,50.15467
Madagascar humid forests,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,179.21149
Madagascar mangroves,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,12.724932
Madagascar spiny thickets,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,10.454508
Madagascar subhumid forests,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,67.63539
Madagascar succulent woodlands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,18.000824
Madeira-Tapajós moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,25.70364
Magdalena-Urabá moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,644.5842
Magdalena Valley dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,263.51605
Magdalena Valley montane forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,227.3235
Magellanic subpolar forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,23.559137
Malabar Coast moist forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,60.210255
Manchurian mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,24.879581
Mandara Plateau woodlands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,21.961721
Maputaland coastal forests and woodlands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,3.5545378
Marajó várzea,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,13.038905
Maranhão Babaçu forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,26.021887
