,ECO_NAME,REALM,flow_name,cf
21357,Flinders-Lofty montane woodlands,Australasia,Rainfed_Wheat_residues_removed_from_the_field,1.1968223
21437,Flint Hills tallgrass prairie,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,9.520408
21517,Fraser Plateau and Basin conifer forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,4.7173223
21597,Fynbos shrubland,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,5.9415298
21757,Gariep Karoo,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,4.058959
21837,Ghorat-Hazarajat alpine meadow,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,23.618467
21997,Gissaro-Alai open woodlands,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,21.138409
22077,Godavari-Krishna mangroves,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,7.666911
22157,Gobi Lakes Valley desert steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,5.44234
22317,Great Basin montane forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,6.0941186
22397,Great Basin shrub steppe,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,4.5564747
22477,Great Lakes Basin desert steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,3.3084152
22557,Great Sandy-Tanami desert,Australasia,Rainfed_Wheat_residues_removed_from_the_field,1.4213705
22637,Great Victoria desert,Australasia,Rainfed_Wheat_residues_removed_from_the_field,0.19536039
22877,Guayaquil flooded grasslands,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,101.92418
23037,Guianan Highlands moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,94.51855
23117,Guianan lowland moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,53.65568
23197,Guianan piedmont moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,39.92892
23277,Guianan savanna,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,17.36931
23357,Guinean forest-savanna,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,24.539219
23597,Guizhou Plateau broadleaf and mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,111.5635
23677,Gulf of California xeric scrub,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,11.392751
23757,Gulf of St. Lawrence lowland forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,4.2632194
23837,Gurupa várzea,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,13.075311
23917,Hainan Island monsoon rain forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,138.03783
24077,Hampton mallee and woodlands,Australasia,Rainfed_Wheat_residues_removed_from_the_field,0.08255064
24157,Hawai'i tropical dry forests,Oceania,Rainfed_Wheat_residues_removed_from_the_field,140.38011
24237,Hawai'i tropical high shrublands,Oceania,Rainfed_Wheat_residues_removed_from_the_field,96.46382
24397,Hawai'i tropical moist forests,Oceania,Rainfed_Wheat_residues_removed_from_the_field,250.17001
24477,Helanshan montane conifer forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,1.3822722
24557,Hengduan Mountains subalpine conifer forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,46.156963
24717,High Monte,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,19.731552
24797,Highveld grasslands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,16.329226
24877,Himalayan subtropical broadleaf forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,172.46266
24957,Himalayan subtropical pine forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,166.78499
25037,Hindu Kush alpine meadow,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,72.503815
25357,Hobyo grasslands and shrublands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,1.5152842
25437,Hokkaido deciduous forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,26.621458
25517,Hokkaido montane conifer forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,49.882557
25597,Honshu alpine conifer forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,170.27411
25677,Horn of Africa xeric bushlands,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,3.2523882
25757,Huang He Plain mixed forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,14.496935
25837,Humid Chaco,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,6.0368385
25917,Humid Pampas,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,3.1272347
26077,Iberian conifer forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,9.582634
26157,Iberian sclerophyllous and semi-deciduous forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,5.8738785
26317,Illyrian deciduous forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,32.198826
26397,Indochina mangroves,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,45.92619
26477,Indus River Delta-Arabian Sea mangroves,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,5.6967425
26557,Indus Valley desert,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,2.1088119
26717,Interior Alaska-Yukon lowland taiga,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,4.9807496
26797,Interior Plateau US Hardwood Forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,27.582655
26877,Interior Yukon-Alaska alpine tundra,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,3.7512321
26957,Iquitos várzea,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,17.84486
27517,Italian sclerophyllous and semi-deciduous forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,29.669691
27597,Itigi-Sumbu thicket,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,5.23836
27677,Jalisco dry forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,70.757744
27917,Japurá-Solimões-Negro moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,15.055356
27997,Jarrah-Karri forest and shrublands,Australasia,Rainfed_Wheat_residues_removed_from_the_field,4.2693863
28077,Jian Nan subtropical evergreen forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,155.40889
28157,Jos Plateau forest-grassland,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,29.767033
28317,Junggar Basin semi-desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,1.339148
28397,Juruá-Purus moist forests,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,23.291067
28637,Kalahari xeric savanna,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,2.0870173
28717,Kamchatka-Kurile meadows and sparse forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,4.027266
28797,Kamchatka taiga,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.5305575
28957,Karakoram-West Tibetan Plateau alpine steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,44.0117
29037,Kayah-Karen montane rain forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,137.47049
29117,Kazakh forest steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.9881766
29197,Kazakh semi-desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.4356756
29277,Kazakh steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.38821328
29357,Kazakh upland steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.7537102
29517,Khangai Mountains alpine meadow,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,17.795658
29597,Khangai Mountains conifer forests,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,14.11165
29677,Khathiar-Gir dry deciduous forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,11.485401
29757,Kimberly tropical savanna,Australasia,Rainfed_Wheat_residues_removed_from_the_field,10.226252
29837,Klamath-Siskiyou forests,Nearctic,Rainfed_Wheat_residues_removed_from_the_field,53.10583
29917,Knysna-Amatole montane forests,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,24.427015
29997,Kola Peninsula tundra,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.7795664
30077,Kopet Dag semi-desert,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,1.5879002
30157,Kopet Dag woodlands and forest steppe,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,1.723273
30237,Kuh Rud and Eastern Iran montane woodlands,Palearctic,Rainfed_Wheat_residues_removed_from_the_field,0.058044367
30317,Kwazulu Natal-Cape coastal forests,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,47.6114
30477,Lake Chad flooded savanna,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,2.5986135
30797,Limpopo lowveld,Afrotropic,Rainfed_Wheat_residues_removed_from_the_field,25.199776
31117,Low Monte,Neotropic,Rainfed_Wheat_residues_removed_from_the_field,1.0753787
31197,Lower Gangetic Plains moist deciduous forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,15.034149
31277,Luang Prabang montane rain forests,Indomalayan,Rainfed_Wheat_residues_removed_from_the_field,70.48721
